"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"140","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",24,289,7,"ND",0,0,0,0
"141","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,1,"D",1,0,0,0
"142","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,2,"D",1,0,0,0
"143","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,3,"ND",0,0,0,0
"144","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,4,"ND",0,0,0,0
"145","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,5,"ND",0,0,0,0
"146","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,6,"ND",0,0,0,0
"147","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,89,7,"ND",0,0,0,0
"148","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,1,"D",1,0,0,0
"149","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,2,"ND",0,0,0,0
"150","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,3,"ND",0,0,0,0
"151","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,4,"ND",0,0,0,0
"152","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,5,"ND",0,0,0,0
"153","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,6,"ND",0,0,0,0
"154","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",24,219,7,"ND",0,0,0,0
"155","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,1,"D",1,0,0,0
"156","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,2,"D",1,0,0,0
"157","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,3,"D",1,0,0,0
"158","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,4,"ND",0,0,0,0
"159","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,5,"ND",0,0,0,0
"160","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,6,"ND",0,0,0,0
"161","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,189,7,"ND",0,0,0,0
"162","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,1,"D",1,0,0,0
"163","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,2,"ND",0,0,0,0
"164","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,3,"ND",0,0,0,0
"165","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,4,"ND",0,0,0,0
"166","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,5,"D",1,0,0,0
"167","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,6,"ND",0,0,0,0
"168","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",36,40,7,"ND",0,0,0,0
"169","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,1,"D",1,0,0,0
"170","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,2,"ND",0,0,0,0
"171","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,3,"D",1,0,0,0
"172","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,4,"ND",0,0,0,0
"173","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,5,"ND",0,0,0,0
"174","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,6,"ND",0,0,0,0
"175","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,195,7,"ND",0,0,0,0
"176","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,1,NA,0,0,0,0
"177","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,2,NA,0,0,0,0
"178","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,3,NA,0,0,0,0
"179","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,4,NA,0,0,0,0
"180","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,5,NA,0,0,0,0
"181","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,6,NA,0,0,0,0
"182","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",36,234,7,NA,0,0,0,0
"183","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,1,"D",1,0,0,0
"184","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,2,"D",1,0,0,0
"185","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,3,"ND",0,0,0,0
"186","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,4,"ND",0,0,0,0
